zip,median_income,district,crime_incidents_2022,education,housing,total_population,income_norm,crime_norm,education_norm,housing_norm,density_norm,composite_score,rank,income_pct,crime_pct,education_pct,housing_pct,density_pct,income_contrib,crime_contrib,education_contrib,housing_contrib,density_contrib,contrib_sum_check,score_index,income_vs_city_avg,crime_vs_city_avg,education_vs_city_avg,housing_vs_city_avg,population_vs_city_avg,income_level,crime_level,education_level,housing_affordability,density_level,Neighbourhood
02129,146815.0,A15,1461,70.6,1900,19832.0,0.7696038179457487,1.0,0.6879334257975035,0.6903837861147046,0.6560842649912224,0.7836728233680011,1,76.96038179457487,100.0,68.79334257975034,69.03837861147046,65.60842649912225,0.1924009544864371,0.25,0.1375866851595007,0.1380767572229409,0.0656084264991222,0.7836728233680011,78.36728233680012,47800.142857142855,-5979.964285714285,9.81428571428571,-215.75,-3717.928571428573,High,Safe,Medium,Moderate,Moderate,Charlestown
02132,132457.0,E5,3682,64.4,1947,26488.0,0.6688353159981753,0.7408401400233372,0.6019417475728157,0.6701164294954722,0.53308694447011,0.6601391938660467,2,66.88353159981753,74.08401400233372,60.19417475728157,67.01164294954722,53.30869444701099,0.1672088289995438,0.1852100350058343,0.1203883495145631,0.1340232858990944,0.053308694447011,0.6601391938660467,66.01391938660467,33442.142857142855,-3758.964285714286,3.614285714285721,-168.75,2938.0714285714275,High,Safe,Medium,Moderate,Moderate,West Roxbury
02210,179643.0,C6,6097,93.1,3501,5706.0,1.0,0.4590431738623104,1.0,0.0,0.9171209461332348,0.6564728880789011,3,100.0,45.90431738623104,100.0,0.0,91.71209461332349,0.25,0.1147607934655776,0.2,0.0,0.0917120946133234,0.6564728880789011,65.64728880789012,80628.14285714286,-1343.964285714285,32.31428571428571,1385.25,-17843.928571428572,High,Safe,High,Expensive,Spacious,Seaport / South Boston Waterfront
02108,170379.0,A1,8520,75.8,2545,4218.0,0.9349826297505,0.1763127187864643,0.7600554785020804,0.4122466580422596,0.9446179432689642,0.6067460587700055,4,93.49826297505,17.63127187864643,76.00554785020805,41.22466580422596,94.46179432689642,0.233745657437625,0.044078179696616,0.1520110957004161,0.0824493316084519,0.0944617943268964,0.6067460587700055,60.67460587700055,71364.14285714286,1079.035714285715,15.014285714285712,429.25,-19331.928571428572,High,Moderate,High,Expensive,Spacious,Beacon Hill
02127,145357.0,C6,6097,70.0,2255,36175.0,0.7593711618766887,0.4590431738623104,0.6796116504854369,0.5373005605864597,0.3540792756167421,0.5833939537108034,5,75.93711618766888,45.90431738623104,67.96116504854369,53.73005605864597,35.40792756167421,0.1898427904691721,0.1147607934655776,0.1359223300970874,0.1074601121172919,0.0354079275616742,0.5833939537108034,58.339395371080336,46342.142857142855,-1343.964285714285,9.214285714285715,139.25,12625.071428571428,High,Safe,Medium,Moderate,Crowded,South Boston
02130,114933.0,E13,4295,70.7,2216,41479.0,0.5458469312559217,0.6693115519253209,0.6893203883495147,0.5541181543768866,0.2560657858264806,0.5780839079232389,6,54.58469312559217,66.93115519253209,68.93203883495147,55.41181543768866,25.60657858264806,0.1364617328139804,0.1673278879813302,0.1378640776699029,0.1108236308753773,0.025606578582648,0.5780839079232389,57.80839079232389,15918.142857142857,-3145.9642857142853,9.914285714285718,100.25,17929.071428571428,High,Safe,Medium,Moderate,Crowded,Jamaica Plain
02131,101566.0,E5,3682,50.2,1821,31637.0,0.4520335473909534,0.7408401400233372,0.40499306518724,0.7244501940491591,0.4379377252148203,0.5679008462223345,7,45.20335473909534,74.08401400233372,40.499306518724,72.44501940491591,43.793772521482026,0.1130083868477383,0.1852100350058343,0.080998613037448,0.1448900388098318,0.043793772521482,0.5679008462223345,56.79008462223345,2551.142857142855,-3758.964285714286,-10.585714285714282,-294.75,8087.0714285714275,Medium,Safe,Medium,Affordable,Crowded,Roslindale
02109,162179.0,A1,8520,81.5,3154,3559.0,0.8774327122153209,0.1763127187864643,0.839112343966713,0.1496334626994394,0.95679571283378,0.5568650903670549,8,87.7432712215321,17.63127187864643,83.91123439667129,14.96334626994394,95.679571283378,0.2193581780538302,0.044078179696616,0.1678224687933426,0.0299266925398878,0.095679571283378,0.5568650903670549,55.68650903670549,63164.142857142855,1079.035714285715,20.714285714285715,1038.25,-19990.928571428572,High,Moderate,High,Expensive,Spacious,Downtown / Waterfront
02134,80027.0,D14,5654,76.2,2211,17969.0,0.3008667579043408,0.5107351225204201,0.7656033287101249,0.55627425614489,0.6905109489051096,0.5363270819677042,9,30.08667579043408,51.07351225204201,76.56033287101249,55.627425614489,69.05109489051095,0.0752166894760852,0.127683780630105,0.153120665742025,0.111254851228978,0.0690510948905109,0.5363270819677042,53.632708196770416,-18987.857142857145,-1786.964285714285,15.414285714285718,95.25,-5580.9285714285725,Medium,Safe,High,Moderate,Moderate,Allston
02113,106625.0,A1,8520,81.0,2316,6688.0,0.4875390391971084,0.1763127187864643,0.8321775312066575,0.5109961190168175,0.8989744063568327,0.5244951101762715,10,48.75390391971084,17.63127187864643,83.21775312066575,51.099611901681754,89.89744063568327,0.1218847597992771,0.044078179696616,0.1664355062413315,0.1021992238033635,0.0898974406356832,0.5244951101762714,52.449511017627145,7610.142857142855,1079.035714285715,20.214285714285715,200.25,-16861.928571428572,Medium,Moderate,High,Expensive,Spacious,North End
