zip,total_population
02108,4218.0
02109,3559.0
02110,2337.0
02111,8417.0
02113,6688.0
02114,13356.0
02115,27838.0
02116,22286.0
02118,28392.0
02119,26821.0
02120,14364.0
02121,29820.0
02122,24705.0
02124,55336.0
02125,31903.0
02126,24994.0
02127,36175.0
02128,45357.0
02129,19832.0
02130,41479.0
02131,31637.0
02132,26488.0
02134,17969.0
02135,44480.0
02136,39498.0
02199,1221.0
02210,5706.0
02215,24522.0
