zip,median_income
02108,170379.0
02109,162179.0
02110,126157.0
02111,72321.0
02113,106625.0
02114,121418.0
02115,51454.0
02116,131648.0
02118,74155.0
02119,37158.0
02120,51698.0
02121,42411.0
02122,81025.0
02124,72189.0
02125,64983.0
02126,66689.0
02127,145357.0
02128,84023.0
02129,146815.0
02130,114933.0
02131,101566.0
02132,132457.0
02134,80027.0
02135,87603.0
02136,91579.0
02199,111786.0
02210,179643.0
02215,64138.0
